date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:50:00	10236/10236	---M--	200	added ('OK')	text/html	etag:%2227fc-610b695e26b40%22	https://www.mykhana.in/images/brand/clients/19.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/19.html	(from https://www.mykhana.in/)
15:50:01	10526/10526	---M--	200	added ('OK')	text/html	etag:%22291e-610b69600efc0%22	https://www.mykhana.in/images/brand/clients/20.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/20.html	(from https://www.mykhana.in/)
15:50:02	10670/10670	---M--	200	added ('OK')	text/html	etag:%2229ae-610b69600efc0%22	https://www.mykhana.in/images/brand/clients/21.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/21.html	(from https://www.mykhana.in/)
15:50:03	9710/9710	---M--	200	added ('OK')	text/html	etag:%2225ee-610b695e26b40%22	https://www.mykhana.in/images/brand/clients/22.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/22.html	(from https://www.mykhana.in/)
15:50:04	9544/9544	---M--	200	added ('OK')	text/html	etag:%222548-610b695e26b40%22	https://www.mykhana.in/images/brand/clients/23.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/23.html	(from https://www.mykhana.in/)
15:50:05	10666/10666	---M--	200	added ('OK')	text/html	etag:%2229aa-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/24.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/24.html	(from https://www.mykhana.in/)
15:50:06	10184/10184	---M--	200	added ('OK')	text/html	etag:%2227c8-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/25.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/25.html	(from https://www.mykhana.in/)
15:50:07	10154/10154	---M--	200	added ('OK')	text/html	etag:%2227aa-610b69600efc0%22	https://www.mykhana.in/images/brand/clients/26.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/26.html	(from https://www.mykhana.in/)
15:50:09	10968/10968	---M--	200	added ('OK')	text/html	etag:%222ad8-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/27.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/27.html	(from https://www.mykhana.in/)
15:50:09	4268/4268	---M--	200	added ('OK')	text/html	etag:%2210ac-610b695f1ad80%22	https://www.mykhana.in/images/brand/clients/28.webp	/home/sid_221/websites/catering/www.mykhana.in/images/brand/clients/28.html	(from https://www.mykhana.in/)
